"ID","REF"
712,"4"
713,"4"
714,"1"
715,"3"
716,"1"
717,"1"
718,"1"
719,"1"
720,"1"
721,"1"
722,"1"
723,"1"
724,"1"
725,"1"
726,"1"
727,"1"
728,"1"
729,"1"
730,"3"
731,"1"
732,"3"
733,"1"
734,"6"
735,"1"
736,"1"
737,"1"
738,"1"
739,"1"
740,"1"
741,"1"
742,"1"
743,"1"
744,"1"
745,"1"
746,"3"
747,"1"
748,"1"
749,"1"
750,"1"
751,"1"
752,"1"
753,"1"
754,"1"
755,"1"
756,"1"
757,"1"
758,"3"
759,"1"
760,"4"
761,"6"
762,"1"
763,"1"
764,"1"
765,"1"
766,"1"
767,"1"
768,"1"
769,"6"
770,"3"
771,"1"
772,"4"
773,"1"
774,"1"
775,"1"
776,"1"
777,"1"
778,"1"
779,"1"
780,"1"
781,"3"
782,"4"
783,"5"
784,"1"
785,"3"
786,"4"
787,"1"
788,"1"
789,"1"
790,"1"
791,"1"
792,"1"
793,"1"
794,"1"
795,"1"
796,"1"
797,"1"
798,"1"
799,"1"
800,"1"
801,"1"
802,"1"
803,"1"
804,"1"
805,"1"
806,"1"
807,"1"
808,"6"
809,"4"
810,"3"
811,"5"
812,"1"
813,"1"
814,"6"
815,"3"
816,"3"
817,"4"
818,"1"
819,"1"
820,"1"
821,"1"
822,"1"
823,"1"
824,"1"
825,"1"
826,"1"
827,"1"
828,"1"
829,"1"
830,"1"
831,"1"
832,"1"
833,"1"
834,"3"
835,"1"
836,"1"
837,"1"
838,"1"
839,"1"
840,"1"
841,"4"
842,"5"
843,"1"
844,"5"
845,"1"
846,"1"
847,"1"
848,"1"
849,"1"
850,"1"
851,"1"
852,"1"
853,"1"
854,"1"
855,"1"
856,"1"
857,"1"
858,"1"
859,"1"
860,"1"
861,"1"
862,"1"
863,"1"
864,"1"
865,"1"
866,"1"
867,"1"
868,"1"
869,"1"
870,"4"
871,"5"
872,"3"
873,"1"
874,"3"
875,"4"
876,"1"
877,"1"
878,"1"
879,"1"
880,"1"
881,"1"
882,"1"
883,"1"
884,"1"
885,"1"
886,"1"
887,"5"
888,"1"
889,"1"
890,"1"
891,"3"
892,"1"
893,"1"
894,"3"
895,"1"
896,"1"
897,"1"
898,"1"
899,"1"
900,"5"
901,"1"
902,"5"
903,"3"
904,"1"
